,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
40,springbok,ZA,-29.66,17.89,37.45,60,0,4.07
41,kongwa,TZ,-6.2,36.42,65.05,74,85,5.35
42,cape town,ZA,-33.93,18.42,54.0,81,75,8.05
43,atuona,PF,-9.8,-139.03,78.76,77,17,15.66
44,mulege,MX,26.88,-111.98,90.0,49,42,5.06
45,yumen,CN,40.28,97.2,86.7,21,79,19.06
46,cherskiy,RU,68.75,161.3,45.41,58,60,9.57
47,zheleznodorozhnyy,RU,55.75,38.0,61.0,82,90,4.47
48,airai,TL,-8.93,125.41,78.96,32,0,3.85
49,lebu,CL,-37.62,-73.65,43.29,73,0,16.15
50,ribeira grande,PT,38.52,-28.7,69.51,74,72,16.98
51,busselton,AU,-33.65,115.33,59.0,80,62,1.99
52,yellowknife,CA,62.46,-114.35,57.2,100,75,8.05
53,honningsvag,NO,70.98,25.97,50.0,76,75,4.7
54,hermanus,ZA,-34.42,19.23,46.99,93,89,10.13
55,codrington,AU,-38.27,141.97,55.17,65,24,21.94
56,esso,RU,55.93,158.7,49.59,81,100,6.62
57,cairns,AU,-16.92,145.77,86.0,54,0,5.82
58,lavrentiya,RU,65.58,-171.0,55.58,64,40,9.15
59,sao jose da coroa grande,BR,-8.9,-35.15,72.18,83,87,3.29
60,mar del plata,AR,-38.0,-57.56,39.0,86,20,9.17
61,kaseda,JP,31.42,130.32,91.4,59,75,4.7
62,kigoma,TZ,-4.88,29.63,68.0,72,79,11.43
63,jamestown,US,42.1,-79.24,55.4,76,1,2.8
64,castro,BR,-24.79,-50.01,51.8,97,100,8.03
65,eltham,NZ,-39.43,174.3,57.99,85,64,13.0
66,buchanan,LR,5.88,-10.05,75.33,88,100,9.78
67,lokosovo,RU,61.13,74.82,57.88,87,93,6.64
68,tuatapere,NZ,-46.13,167.68,48.99,93,98,5.99
69,mattoon,US,39.48,-88.37,62.6,77,1,6.33
70,cidreira,BR,-30.18,-50.21,50.04,73,23,10.89
71,lumby,CA,50.25,-118.97,68.0,49,75,4.7
72,smithers,CA,54.78,-127.17,53.6,93,90,2.24
73,ponta do sol,PT,32.67,-17.1,71.6,73,40,4.7
74,saharsa,IN,25.88,86.6,85.93,67,45,24.72
75,zaozhuang,CN,34.86,117.55,81.79,82,97,5.88
76,port elizabeth,ZA,-33.92,25.57,44.6,81,11,6.93
77,slave lake,CA,55.28,-114.77,60.8,77,1,2.24
78,tuktoyaktuk,CA,69.45,-133.04,51.8,81,75,11.41
79,victoria,HK,22.29,114.16,91.0,59,78,15.01
80,general pico,AR,-35.66,-63.76,32.25,91,0,4.34
81,sao joao do piaui,BR,-8.36,-42.25,72.66,46,99,6.58
82,puerto ayacucho,VE,5.66,-67.62,76.12,93,100,3.36
83,berlevag,NO,70.86,29.09,51.8,76,75,10.29
84,thompson,CA,55.74,-97.86,64.4,72,75,5.82
85,nabire,ID,-3.37,135.48,84.85,68,9,5.26
86,katsuura,JP,35.13,140.3,97.0,56,20,16.11
87,coihaique,CL,-45.58,-72.07,35.6,84,84,3.36
88,sao joao da barra,BR,-21.64,-41.05,70.7,89,0,3.87
89,cuiluan,CN,47.72,128.65,73.35,33,0,5.91
90,gwadar,PK,25.12,62.33,82.87,79,97,7.23
91,saint-georges,GD,12.06,-61.75,80.6,88,20,12.1
92,suluova,TR,40.83,35.65,64.4,55,0,1.9
93,tiksi,RU,71.69,128.87,39.58,90,100,6.2
94,new norfolk,AU,-42.78,147.06,57.0,72,53,5.01
95,suraabad,AZ,40.82,49.47,78.8,61,0,2.24
96,bengkulu,ID,-3.8,102.27,87.17,60,100,7.65
97,santa cruz,BO,-17.8,-63.17,53.6,93,90,26.4
98,mezen,RU,65.85,44.24,53.58,59,0,6.24
99,najran,SA,17.49,44.13,82.4,21,40,4.7
100,nyakahanga,TZ,-1.6,31.14,67.77,68,92,1.45
101,ariquemes,BR,-9.91,-63.04,78.31,48,58,1.5
102,saint-philippe,RE,-21.36,55.77,73.4,56,90,3.36
103,sitka,US,57.05,-135.33,62.6,67,75,4.99
104,parga,GR,39.28,20.4,71.6,73,20,5.82
105,narsaq,GL,60.92,-46.05,48.2,66,9,5.82
106,akureyri,IS,65.68,-18.09,35.6,93,0,3.36
107,bambous virieux,MU,-20.34,57.76,73.99,73,40,11.41
108,torit,SS,4.41,32.57,71.08,92,36,1.41
109,pinega,RU,64.7,43.39,52.93,66,0,5.61
110,souillac,MU,-20.52,57.52,71.6,73,40,11.41
111,sur,OM,22.57,59.53,91.53,52,50,1.3
112,hithadhoo,MV,-0.6,73.08,83.79,66,85,3.76
113,fairbanks,US,64.84,-147.72,68.0,56,90,3.36
114,port alfred,ZA,-33.59,26.89,53.13,50,7,13.47
115,san quintin,MX,30.48,-115.95,74.84,76,0,8.93
116,kruisfontein,ZA,-34.0,24.73,46.62,56,7,8.25
117,yeniseysk,RU,58.45,92.17,68.76,67,5,8.01
118,avarua,CK,-21.21,-159.78,73.4,83,86,25.28
119,mahebourg,MU,-20.41,57.7,71.6,73,40,11.41
120,sindou,BF,10.67,-5.17,70.38,94,61,4.68
121,polunochnoye,RU,60.87,60.42,52.93,99,100,5.28
122,zhigansk,RU,66.77,123.37,54.46,51,0,11.16
123,hilo,US,19.73,-155.09,75.2,83,90,6.93
124,pangnirtung,CA,66.15,-65.71,51.08,45,31,1.03
125,dikson,RU,73.51,80.55,51.51,64,0,16.24
126,manono,CD,-7.3,27.42,70.48,36,79,1.74
127,rio grande,BR,-32.03,-52.1,45.0,83,51,5.01
128,meulaboh,ID,4.14,96.13,86.23,66,98,6.73
129,hasaki,JP,35.73,140.83,102.0,59,20,11.41
130,lima,PE,-12.04,-77.03,60.8,77,90,8.05
131,dukat,RU,62.55,155.55,44.78,95,100,5.35
132,pedernales,DO,18.04,-71.74,82.29,66,100,8.46
133,roma,US,43.21,-75.46,57.2,82,75,3.36
134,bac lieu,VN,9.29,105.72,86.5,69,94,5.57
135,vardo,NO,70.37,31.11,51.8,87,75,10.29
136,tocopilla,CL,-22.09,-70.2,54.79,65,12,6.82
137,smithfield,US,41.92,-71.55,63.0,100,20,4.07
138,kaitangata,NZ,-46.28,169.85,48.0,87,84,8.01
139,saurimo,AO,-9.66,20.39,59.31,33,0,4.88
140,acajutla,SV,13.59,-89.83,69.01,100,96,3.49
141,baglung,NP,28.27,83.59,71.74,74,100,5.88
142,fez,MA,34.04,-5.0,69.8,73,10,5.82
143,cabo san lucas,MX,22.89,-109.91,77.0,97,100,13.0
144,arica,CL,-18.48,-70.3,57.42,79,82,0.96
145,ugoofaaru,MV,5.67,73.0,82.9,70,100,8.05
146,cooma,AU,-36.23,149.13,48.2,63,40,20.8
147,oussouye,SN,12.48,-16.55,78.8,100,20,2.24
148,cam ranh,VN,11.92,109.16,87.8,66,40,3.36
149,kahului,US,20.89,-156.47,80.6,65,40,19.46
150,kabo,CF,7.7,18.63,69.55,94,100,0.47
151,kouqian,CN,43.64,126.46,71.62,65,70,8.01
152,kavieng,PG,-2.57,150.8,84.88,67,79,6.98
153,asosa,ET,10.07,34.53,64.96,99,100,1.52
154,vao,NC,-22.67,167.48,71.46,78,0,14.52
155,boone,US,39.03,-92.33,64.4,68,1,4.7
156,srednekolymsk,RU,67.45,153.68,46.08,56,95,9.06
157,iranshahr,IR,27.2,60.68,98.6,35,93,2.66
158,lavumisa,SZ,-27.31,31.89,51.51,73,0,2.84
159,huazhou,CN,21.63,110.58,81.39,85,100,5.95
160,shimoda,JP,34.67,138.95,89.6,66,20,13.87
161,lasa,IT,46.62,10.7,61.0,87,40,1.12
162,newtonmore,GB,57.07,-4.12,63.0,88,100,10.29
163,campbellton,CA,48.01,-66.67,53.02,88,30,11.01
164,tasiilaq,GL,65.61,-37.64,46.4,65,0,10.29
165,nikolskoye,RU,59.7,30.79,57.99,82,0,4.47
166,husavik,IS,66.04,-17.34,35.6,93,0,3.36
167,port arthur,CN,38.8,121.27,75.99,73,100,11.18
168,san jose,US,37.34,-121.89,75.0,43,75,10.29
169,prince rupert,CA,54.32,-130.32,57.2,93,90,3.36
170,lompoc,US,34.64,-120.46,64.4,77,90,5.44
171,hereford,GB,52.06,-2.71,57.99,88,41,8.37
172,bluff,NZ,-46.6,168.33,48.99,93,100,5.99
173,touros,BR,-5.2,-35.46,69.8,94,20,4.7
174,bubaque,GW,11.28,-15.83,81.03,81,90,5.99
175,bethel,US,41.37,-73.41,60.8,87,1,4.9
176,fortuna,US,40.6,-124.16,60.01,91,4,3.51
177,harper,LR,4.38,-7.72,74.64,87,99,9.57
178,kenai,US,60.55,-151.26,57.2,82,1,6.93
179,cockburn town,TC,21.46,-71.14,82.96,83,0,21.47
180,san cristobal,VE,7.77,-72.22,66.22,91,88,1.57
181,whitehorse,CA,60.72,-135.05,57.2,54,20,8.05
182,nantucket,US,41.28,-70.1,66.2,88,40,5.82
183,carnarvon,AU,-24.87,113.63,69.8,37,84,9.17
184,fomboni,KM,-12.28,43.74,76.59,77,77,9.06
185,bom jesus,BR,-9.07,-44.36,66.78,56,51,1.12
186,awbari,LY,26.59,12.78,84.83,18,39,7.14
187,waingapu,ID,-9.66,120.26,86.16,47,0,12.71
188,hun,LY,29.13,15.95,77.25,43,0,2.24
189,labis,MY,2.38,103.02,87.13,66,73,4.68
190,mayumba,GA,-3.43,10.66,72.03,89,97,8.3
191,bahia blanca,AR,-38.72,-62.27,36.1,79,1,7.63
192,marsh harbour,BS,26.54,-77.06,84.42,75,80,14.32
193,huimilpan,MX,20.37,-100.28,64.4,77,75,4.7
194,talnakh,RU,69.49,88.4,69.8,35,98,13.42
195,vostok,RU,46.49,135.88,64.47,48,64,8.57
196,ayapel,CO,8.31,-75.14,74.89,94,100,2.89
197,boa vista,BR,2.82,-60.67,82.4,74,100,2.24
198,hambantota,LK,6.12,81.12,87.8,74,20,12.75
199,boguchany,RU,58.38,97.45,73.33,48,27,8.52
200,roald,NO,62.58,6.13,57.2,93,80,5.82
201,quelimane,MZ,-17.88,36.89,73.4,88,75,4.61
202,bonavista,CA,48.65,-53.11,60.01,75,96,8.86
203,salalah,OM,17.02,54.09,77.0,100,90,3.36
204,zarichne,UA,51.81,26.13,64.44,93,84,3.76
205,noumea,NC,-22.28,166.46,78.8,61,3,8.05
206,zhaotong,CN,27.32,103.72,70.66,72,38,3.91
207,geraldton,AU,-28.77,114.6,66.2,52,78,8.05
208,cayenne,GF,4.93,-52.33,75.2,100,75,10.42
209,mikhaylovka,RU,50.06,43.24,66.99,54,74,5.99
210,samarai,PG,-10.62,150.67,77.54,72,0,8.12
211,riyadh,SA,24.69,46.72,80.6,18,28,4.7
212,sinnar,SD,13.57,33.57,76.44,79,100,16.58
213,cordoba,AR,-31.41,-64.18,37.99,58,0,8.05
214,quepos,CR,9.42,-84.17,69.8,100,75,8.05
215,erzin,TR,36.96,36.2,81.0,82,62,2.82
216,hami,CN,42.8,93.45,88.16,19,100,13.78
217,provideniya,RU,64.38,-173.3,59.0,67,42,13.42
218,coquimbo,CL,-29.95,-71.34,48.2,87,0,5.82
219,guerrero negro,MX,27.98,-114.06,76.44,71,0,14.23
220,taquara,BR,-29.65,-50.78,52.0,80,73,0.98
221,inirida,CO,3.87,-67.92,74.44,97,73,2.71
222,hamilton,US,39.18,-84.53,66.0,87,1,5.48
223,nador,MA,35.17,-2.93,71.6,94,20,5.82
224,southbridge,US,42.08,-72.03,59.0,99,0,3.74
225,port-gentil,GA,-0.72,8.78,74.3,85,100,15.52
226,kanniyakumari,IN,8.08,77.57,84.2,69,100,18.81
227,yar-sale,RU,66.83,70.83,53.55,89,100,11.7
228,kijang,KR,35.24,129.21,96.8,47,20,10.29
229,isabela,PH,6.71,121.97,82.4,78,75,1.12
230,san patricio,MX,19.22,-104.7,78.28,84,100,4.54
231,alekseyevka,RU,50.63,38.69,64.96,75,33,8.52
232,beringovskiy,RU,63.05,179.32,59.04,52,80,6.51
233,ambilobe,MG,-13.2,49.05,76.77,50,44,6.2
234,kavaratti,IN,10.57,72.64,84.2,74,20,6.93
235,kisangani,CD,0.52,25.2,71.47,97,100,3.83
236,tiznit,MA,29.58,-9.5,64.0,68,0,0.13
237,westport,US,41.14,-73.36,64.0,99,1,7.78
238,halifax,CA,44.65,-63.57,64.0,57,66,1.01
239,shimanovsk,RU,52.0,127.7,72.12,39,0,6.62
240,bredasdorp,ZA,-34.53,20.04,51.8,81,81,5.82
241,aksarka,RU,66.56,67.8,58.87,67,81,14.61
242,bud,US,39.45,-86.18,62.01,95,0,5.48
243,aklavik,CA,68.22,-135.01,60.8,67,75,4.7
244,shenjiamen,CN,29.96,122.3,83.32,78,0,11.88
245,baruun-urt,MN,46.68,113.28,68.07,37,0,5.1
246,verkhnyaya maksakovka,RU,61.63,50.97,51.8,93,90,6.71
247,trincomalee,LK,8.57,81.23,88.09,61,100,13.76
248,ajdabiya,LY,30.76,20.23,72.5,69,0,5.7
249,tabuk,PH,17.42,121.44,77.85,84,100,1.54
250,santa cruz de tenerife,ES,28.47,-16.25,73.0,78,0,5.82
251,gijon,ES,43.54,-5.66,66.99,77,88,1.92
252,nioro,GM,13.35,-15.75,76.6,94,97,2.55
253,evensk,RU,61.95,159.23,52.75,89,100,9.62
254,laguna,US,38.42,-121.42,84.2,25,90,3.36
255,faanui,PF,-16.48,-151.75,77.79,79,27,19.8
256,lakatoro,VU,-16.1,167.42,82.4,83,75,12.75
257,bilma,NE,18.69,12.92,87.49,15,56,5.39
258,severo-kurilsk,RU,50.68,156.12,54.91,83,99,8.68
259,esperance,AU,-33.87,121.9,60.8,77,75,12.75
260,huilong,CN,31.81,121.66,97.0,52,1,5.99
261,nemuro,JP,43.32,145.57,73.4,83,75,3.36
262,maceio,BR,-9.67,-35.74,69.8,100,82,3.36
263,astana,KZ,51.18,71.45,62.6,45,40,20.13
264,loukhi,RU,66.08,33.04,59.43,84,65,5.48
265,zverinogolovskoye,RU,54.46,64.85,50.59,91,100,15.52
266,ancud,CL,-41.87,-73.82,45.0,93,40,4.7
267,nishihara,JP,26.18,127.76,93.2,66,40,11.41
268,luderitz,NA,-26.65,15.16,57.47,34,0,9.51
269,atherton,GB,53.52,-2.49,59.0,80,60,4.0
270,orocue,CO,4.79,-71.34,76.3,89,47,3.78
271,ocos,GT,14.51,-92.19,81.05,77,98,4.79
272,iqaluit,CA,63.75,-68.51,44.6,93,90,8.05
273,presidente venceslau,BR,-21.88,-51.84,61.83,76,77,9.57
274,munxar,MT,36.03,14.23,75.99,94,0,1.12
275,tarabuco,BO,-19.17,-64.92,41.02,100,98,6.73
276,matara,LK,5.95,80.54,85.73,67,100,12.46
277,businga,CD,3.33,20.88,70.74,94,100,1.3
278,longyearbyen,SJ,78.22,15.64,42.8,75,75,17.22
279,bitung,ID,1.45,125.18,89.6,59,20,4.7
280,los zacatones,MX,22.95,-102.05,59.0,87,90,8.32
281,marfino,RU,55.7,37.38,61.0,72,40,4.36
282,yuzawa,JP,39.17,140.5,91.4,40,20,8.05
283,kingman,US,35.19,-114.05,98.01,18,1,6.93
284,sudbury,CA,46.49,-80.99,55.4,87,90,5.82
285,chapais,CA,49.78,-74.85,48.2,87,40,3.36
286,gat,IL,31.61,34.76,75.99,11,0,3.85
287,catia la mar,VE,10.6,-67.03,72.0,71,36,4.7
288,buala,SB,-8.14,159.59,84.7,70,69,2.21
289,krasnovka,RU,48.82,40.09,75.09,48,0,6.4
290,hofn,IS,64.25,-15.21,46.31,69,76,13.38
291,pinawa,CA,50.15,-95.88,64.65,97,63,4.65
292,sobolevo,RU,54.43,31.9,57.97,95,99,9.1
293,plaridel,PH,14.89,120.86,86.0,70,97,4.7
294,wadi musa,JO,30.32,35.48,74.57,36,0,1.1
295,druzhba,UA,52.04,33.95,60.35,85,89,13.31
296,mokolo,CM,10.74,13.8,70.05,84,100,4.09
297,tuy hoa,VN,13.08,109.3,79.23,80,100,6.85
298,praia da vitoria,PT,38.73,-27.07,68.0,72,75,12.48
299,richards bay,ZA,-28.78,32.04,55.99,68,27,4.03
300,arlit,NE,18.74,7.39,89.19,13,20,5.61
301,kolyvan,RU,55.31,82.74,66.2,59,40,15.66
302,seddon,AU,-37.81,144.89,57.99,54,90,17.22
303,eyemouth,GB,55.87,-2.09,59.0,94,100,5.01
304,ilulissat,GL,69.22,-51.1,48.2,72,0,4.7
305,nouadhibou,MR,20.93,-17.03,72.95,76,2,15.41
306,salinopolis,BR,-0.61,-47.36,79.14,83,55,12.8
307,boundiali,CI,9.52,-6.49,68.76,98,84,5.53
308,cortes,ES,41.94,-1.44,71.6,73,0,10.29
309,nome,US,64.5,-165.41,54.0,81,90,13.87
310,marang,MY,5.21,103.21,89.6,70,20,3.36
311,mtwara,TZ,-10.27,40.18,68.0,94,40,3.67
312,phan thiet,VN,10.93,108.1,83.7,70,100,7.7
313,anadyr,RU,64.75,177.48,60.8,51,80,17.9
314,sioux lookout,CA,50.1,-91.92,62.6,93,75,5.82
315,tahoua,NE,14.89,5.27,77.0,83,87,5.93
316,saint simons,US,31.14,-81.39,80.6,83,1,7.02
317,bandarbeyla,SO,9.49,50.81,82.69,61,0,28.12
318,koumac,NC,-20.57,164.28,75.88,62,0,11.9
319,omsukchan,RU,62.53,155.8,47.28,90,100,5.55
320,ashland,US,40.82,-82.27,57.99,71,1,3.56
321,los llanos de aridane,ES,28.66,-17.92,69.8,88,40,8.05
322,lorengau,PG,-2.02,147.27,85.17,71,20,9.48
323,aswan,EG,24.09,32.91,87.15,23,0,8.59
324,alfred,US,42.25,-77.79,51.8,81,1,1.07
325,isangel,VU,-19.55,169.27,80.6,65,20,5.73
326,chuy,UY,-33.7,-53.46,40.66,75,31,9.82
327,quatre cocos,MU,-20.21,57.76,75.2,64,40,11.41
328,la ronge,CA,55.1,-105.28,60.8,100,20,6.51
329,eyl,SO,7.98,49.82,82.96,62,60,22.08
330,doha,QA,25.29,51.53,97.0,63,8,8.05
331,sangar,RU,63.92,127.47,59.4,45,91,3.04
332,sao gabriel da cachoeira,BR,-0.13,-67.09,75.9,76,0,1.7
333,karasjok,NO,69.47,25.51,50.0,93,90,9.17
334,georgetown,MY,5.41,100.34,87.8,70,40,8.05
335,chokurdakh,RU,70.63,147.92,38.95,78,100,10.78
336,pontianak,ID,-0.03,109.33,91.08,56,62,0.51
337,gwembe,ZM,-16.5,27.61,54.75,58,2,3.44
338,bathsheba,BB,13.22,-59.52,82.4,83,20,12.75
339,banda aceh,ID,5.56,95.32,87.3,64,85,4.94
340,camacha,PT,33.08,-16.33,71.6,88,40,4.7
341,ketchikan,US,55.34,-131.65,57.2,100,90,5.82
342,pisco,PE,-13.7,-76.22,60.8,82,16,4.7
343,nizhnyaya tura,RU,58.63,59.81,55.17,94,100,6.24
344,nogliki,RU,51.83,143.17,62.91,59,40,14.07
345,haines junction,CA,60.75,-137.51,49.5,59,9,2.15
346,bajil,YE,15.06,43.29,91.99,53,40,7.47
347,poopo,BO,-18.37,-66.97,34.18,75,8,3.89
348,sibolga,ID,1.74,98.78,88.97,56,34,6.64
349,guilin,CN,25.28,110.29,75.2,100,90,4.47
350,yerbogachen,RU,61.28,108.01,73.74,33,50,10.38
351,mahibadhoo,MV,3.78,72.97,83.21,63,100,4.99
352,mawlaik,MM,23.63,94.42,77.72,92,100,1.32
353,asau,RO,46.43,26.4,61.0,99,98,3.74
354,coahuayana,MX,18.73,-103.68,76.8,85,100,2.95
355,seoul,KR,37.57,126.98,91.4,55,1,5.82
356,imbituba,BR,-28.24,-48.67,60.8,63,75,13.87
357,kampot,KH,10.62,104.18,86.0,70,40,13.87
358,morogoro,TZ,-6.82,37.67,66.2,93,75,2.21
359,mayo,US,38.89,-76.51,73.4,100,1,4.7
360,zhoucheng,CN,35.91,116.31,70.23,95,100,7.29
361,lensk,RU,60.73,114.93,75.09,27,27,4.68
362,luganville,VU,-15.53,167.17,82.4,83,75,12.75
363,progreso,MX,21.28,-89.67,75.2,94,90,5.82
364,marzuq,YE,14.4,46.47,80.56,51,17,7.43
365,buraydah,SA,26.33,43.98,78.8,27,49,3.36
366,sayat,TM,38.78,63.88,80.6,18,0,9.17
367,suleja,NG,9.18,7.18,75.2,94,75,6.93
368,college,US,64.86,-147.8,68.0,56,90,3.36
369,visby,SE,57.64,18.3,59.0,93,90,4.7
370,mursan,IN,27.58,77.93,90.66,62,100,9.28
371,atar,MR,20.52,-13.05,86.4,52,1,12.17
372,port augusta,AU,-32.5,137.77,62.6,39,40,19.46
373,ostrovnoy,RU,68.05,39.51,54.5,63,80,13.67
374,clyde river,CA,70.47,-68.59,42.8,100,1,5.82
375,lelystad,NL,52.51,5.47,68.0,76,99,8.01
376,omboue,GA,-1.57,9.26,72.82,86,99,10.27
377,saint-pierre,RE,-21.34,55.48,75.2,53,90,3.36
378,shestakovo,RU,56.49,103.96,68.88,59,90,7.58
379,teacapan,MX,22.55,-105.75,81.05,81,100,6.46
380,moerai,PF,-22.43,-151.33,69.73,72,91,29.15
381,rio gallegos,AR,-51.62,-69.22,44.6,70,37,23.04
382,bilibino,RU,68.05,166.44,46.56,88,100,1.66
383,isla mujeres,MX,21.23,-86.73,84.0,100,90,6.87
384,otaru,JP,43.19,141.0,73.4,78,75,12.75
385,moranbah,AU,-22.0,148.05,79.93,19,0,15.77
386,pacific grove,US,36.62,-121.92,69.01,60,90,6.93
387,necochea,AR,-38.55,-58.74,37.0,93,65,1.99
388,mapiripan,CO,2.89,-72.13,75.4,89,72,2.86
389,katakwi,UG,1.89,33.97,68.04,82,94,3.13
390,kangaatsiaq,GL,68.31,-53.46,46.17,84,0,13.02
391,tak,TH,16.58,98.83,93.0,74,75,4.7
392,ternate,ID,0.8,127.4,79.65,79,83,7.76
393,pizarro,CO,4.95,-77.37,76.5,88,97,6.91
394,balikpapan,ID,-1.27,116.83,84.2,83,20,5.82
395,kiunga,PG,-6.12,141.29,88.2,58,62,3.31
396,villanueva de cordoba,ES,38.32,-4.63,66.2,59,0,1.12
397,noyabrsk,RU,63.2,75.45,62.85,70,23,12.19
398,kudahuvadhoo,MV,2.67,72.89,82.63,62,96,1.68
399,hovd,MN,48.01,91.64,69.28,31,100,5.39
400,alice springs,AU,-23.7,133.88,75.0,18,0,4.7
401,mendi,PG,-6.18,143.65,64.36,91,22,3.13
402,marystown,CA,47.17,-55.15,61.0,100,99,7.02
403,mwene-ditu,CD,-7.0,23.45,66.7,78,27,4.47
404,safaga,EG,26.73,33.94,80.6,44,0,5.82
405,north bend,US,43.41,-124.22,63.0,88,90,5.82
406,sungairaya,ID,0.7,108.9,89.22,59,83,4.25
407,dunedin,NZ,-45.87,170.5,50.0,83,80,4.38
408,the valley,AI,18.22,-63.06,84.2,70,20,9.17
409,kristinehamn,SE,59.31,14.11,63.0,100,100,3.36
410,warrington,GB,53.39,-2.58,60.8,77,64,9.17
411,siguiri,GN,11.67,-9.5,72.05,92,100,3.33
412,suntar,RU,62.14,117.63,66.07,36,0,5.75
413,port hardy,CA,50.7,-127.42,60.8,87,90,19.46
414,chegdomyn,RU,51.12,133.02,67.28,43,29,7.81
415,ler,SS,8.3,30.14,73.76,93,99,1.9
416,saint george,US,37.1,-113.58,98.6,13,1,3.4
417,qom,IR,34.64,50.88,85.69,18,0,12.15
418,faya,SA,18.39,42.45,69.8,55,65,7.81
419,kilindoni,TZ,-7.91,39.67,76.6,79,43,10.87
420,batagay-alyta,RU,67.8,130.41,42.31,64,92,5.37
421,leua,SK,48.22,18.61,64.99,94,0,1.01
422,tezu,IN,27.92,96.17,94.19,43,0,3.49
423,bairiki,KI,1.33,172.98,87.8,66,40,13.87
424,kirakira,SB,-10.45,161.92,84.09,71,92,6.13
425,kjopsvik,NO,68.1,16.37,48.99,93,100,5.82
426,paamiut,GL,61.99,-49.67,44.29,77,0,3.36
427,ternovka,RU,51.68,41.64,61.56,57,40,11.18
428,divo,CI,5.84,-5.36,68.92,99,53,2.15
429,nara,JP,34.69,135.8,104.0,50,75,8.05
430,pekalongan,ID,-6.89,109.68,87.31,52,16,11.25
431,nkhata bay,MW,-11.61,34.29,72.9,58,74,1.83
432,xining,CN,36.62,101.77,73.56,39,20,3.27
433,amapa,BR,1.0,-52.0,71.38,97,70,2.64
434,beloha,MG,-25.17,45.05,66.79,83,98,7.02
435,mogadishu,SO,2.04,45.34,77.0,69,75,11.41
436,anahuac,MX,27.23,-100.15,86.14,45,3,8.52
437,svetlogorsk,BY,52.63,29.73,60.6,90,98,9.31
438,deputatskiy,RU,69.3,139.9,39.15,74,98,9.08
439,mount isa,AU,-20.73,139.5,80.6,11,1,12.75
440,alta floresta,BR,-9.88,-56.09,73.81,34,0,1.66
441,porto santo,PT,33.07,-16.34,71.6,88,40,4.7
442,olinda,BR,-8.01,-34.86,71.6,88,20,2.24
443,vanderhoof,CA,54.02,-124.02,61.02,59,100,5.26
444,qandala,SO,11.47,49.87,90.05,49,28,9.98
445,satipo,PE,-11.25,-74.64,70.05,79,13,2.19
446,byron bay,AU,-28.65,153.62,71.6,26,0,20.8
447,dubti,ET,11.74,41.09,88.95,43,35,18.37
448,klaksvik,FO,62.23,-6.59,50.0,76,100,5.82
449,dongsheng,CN,39.82,109.98,74.57,35,6,7.65
450,hirado,JP,33.36,129.55,91.4,59,75,5.82
